¸ñÍø±àºÅ,wkt×ø±ê
111,"MULTIPOLYGON (((426943.69714851433 4395540.4441694766, 427943.69714851433 4395540.4441694766, 427943.69714851433 4396540.4441694766, 426943.69714851433 4396540.4441694766, 426943.69714851433 4395540.4441694766)))"
112,"MULTIPOLYGON (((427943.69714851433 4395540.4441694766, 428943.69714851433 4395540.4441694766, 428943.69714851433 4396540.4441694766, 427943.69714851433 4396540.4441694766, 427943.69714851433 4395540.4441694766)))"
113,"MULTIPOLYGON (((428943.69714851433 4395540.4441694766, 429943.69714851433 4395540.4441694766, 429943.69714851433 4396540.4441694766, 428943.69714851433 4396540.4441694766, 428943.69714851433 4395540.4441694766)))"
114,"MULTIPOLYGON (((429943.69714851433 4395540.4441694766, 430943.69714851433 4395540.4441694766, 430943.69714851433 4396540.4441694766, 429943.69714851433 4396540.4441694766, 429943.69714851433 4395540.4441694766)))"
115,"MULTIPOLYGON (((430943.69714851433 4395540.4441694766, 431943.69714851433 4395540.4441694766, 431943.69714851433 4396540.4441694766, 430943.69714851433 4396540.4441694766, 430943.69714851433 4395540.4441694766)))"
116,"MULTIPOLYGON (((431943.69714851433 4395540.4441694766, 432943.69714851433 4395540.4441694766, 432943.69714851433 4396540.4441694766, 431943.69714851433 4396540.4441694766, 431943.69714851433 4395540.4441694766)))"
117,"MULTIPOLYGON (((432943.69714851433 4395540.4441694766, 433943.69714851433 4395540.4441694766, 433943.69714851433 4396540.4441694766, 432943.69714851433 4396540.4441694766, 432943.69714851433 4395540.4441694766)))"
118,"MULTIPOLYGON (((433943.69714851433 4395540.4441694766, 434943.69714851433 4395540.4441694766, 434943.69714851433 4396540.4441694766, 433943.69714851433 4396540.4441694766, 433943.69714851433 4395540.4441694766)))"
119,"MULTIPOLYGON (((434943.69714851433 4395540.4441694766, 435943.69714851433 4395540.4441694766, 435943.69714851433 4396540.4441694766, 434943.69714851433 4396540.4441694766, 434943.69714851433 4395540.4441694766)))"
120,"MULTIPOLYGON (((435943.69714851433 4395540.4441694766, 436943.69714851433 4395540.4441694766, 436943.69714851433 4396540.4441694766, 435943.69714851433 4396540.4441694766, 435943.69714851433 4395540.4441694766)))"
