label,lng,Lat
216,116.1416668,39.72907836
217,116.1533347,39.72916404
218,116.1650026,39.72924855
219,116.1766705,39.72933189
220,116.1883385,39.72941406
221,116.2000066,39.72949505
222,116.2116747,39.72957487
223,116.2233428,39.72965352
224,116.235011,39.729731
225,116.2466793,39.7298073
226,116.2583475,39.72988243
227,116.2700159,39.72995639
228,116.2816842,39.73002918
229,116.2933526,39.73010079
230,116.3050211,39.73017123
231,116.3166896,39.7302405
232,116.3283581,39.73030859
233,116.3400267,39.73037552
234,116.3516953,39.73044127
235,116.3633639,39.73050584
236,116.3750326,39.73056925
237,116.3867013,39.73063148
238,116.3983701,39.73069254
239,116.4100389,39.73075242
240,116.4217077,39.73081114
241,116.4333765,39.73086868
242,116.4450454,39.73092505
243,116.4567143,39.73098024
244,116.4683833,39.73103426
245,116.4800523,39.73108711
265,116.0948781,39.73773299
266,116.1065472,39.73782339
267,116.1182165,39.73791262
268,116.1298857,39.73800068
269,116.1415551,39.73808756
270,116.1532244,39.73817327
271,116.1648939,39.73825781
272,116.1765633,39.73834118
273,116.1882329,39.73842337
274,116.1999024,39.73850439
275,116.211572,39.73858424
276,116.2232417,39.73866291
277,116.2349114,39.73874041
278,116.2465812,39.73881674
279,116.258251,39.73889189
280,116.2699208,39.73896588
281,116.2815907,39.73903868
282,116.2932606,39.73911032
283,116.3049306,39.73918078
284,116.3166006,39.73925007
285,116.3282706,39.73931819
286,116.3399407,39.73938513
287,116.3516108,39.7394509
288,116.363281,39.7395155
289,116.3749512,39.73957893
290,116.3866215,39.73964118
291,116.3982917,39.73970226
292,116.409962,39.73976216
293,116.4216324,39.73982089
294,116.4333028,39.73987845
295,116.4449732,39.73993484
296,116.4566436,39.73999005
297,116.4683141,39.74004409
298,116.4799846,39.74009696
299,116.4916551,39.74014865
300,116.5033257,39.74019917
301,116.5149963,39.74024851
318,116.0947602,39.74674207
319,116.1064309,39.7468325
320,116.1181016,39.74692176
321,116.1297724,39.74700984
322,116.1414433,39.74709675
323,116.1531141,39.74718249
324,116.1647851,39.74726706
325,116.1764561,39.74735045
326,116.1881271,39.74743267
327,116.1997982,39.74751371
328,116.2114694,39.74759358
329,116.2231405,39.74767228
330,116.2348118,39.74774981
331,116.246483,39.74782616
332,116.2581544,39.74790134
333,116.2698257,39.74797535
334,116.2814971,39.74804818
335,116.2931686,39.74811984
336,116.3048401,39.74819032
337,116.3165116,39.74825963
338,116.3281831,39.74832777
339,116.3398548,39.74839474
340,116.3515264,39.74846053
341,116.3631981,39.74852515
342,116.3748698,39.74858859
343,116.3865416,39.74865086
344,116.3982134,39.74871196
345,116.4098852,39.74877188
346,116.421557,39.74883063
347,116.4332289,39.74888821
348,116.4449009,39.74894461
349,116.4565728,39.74899984
350,116.4682448,39.7490539
351,116.4799169,39.74910678
352,116.4915889,39.74915849
353,116.503261,39.74920903
354,116.5149331,39.74925839
355,116.5266053,39.74930658
356,116.5382774,39.7493536
357,116.5499496,39.74939944
372,116.1063145,39.75584159
373,116.1179867,39.75593088
374,116.129659,39.75601899
375,116.1413314,39.75610593
376,116.1530038,39.75619169
377,116.1646763,39.75627629
378,116.1763488,39.7563597
379,116.1880214,39.75644195
380,116.199694,39.75652302
381,116.2113666,39.75660292
382,116.2230393,39.75668164
383,116.2347121,39.75675919
384,116.2463849,39.75683557
385,116.2580577,39.75691077
386,116.2697306,39.7569848
387,116.2814035,39.75705766
388,116.2930765,39.75712934
389,116.3047495,39.75719984
390,116.3164225,39.75726918
391,116.3280956,39.75733734
392,116.3397687,39.75740432
393,116.3514419,39.75747014
394,116.3631151,39.75753478
395,116.3747884,39.75759824
396,116.3864616,39.75766053
397,116.3981349,39.75772165
398,116.4098083,39.75778159
399,116.4214817,39.75784036
400,116.4331551,39.75789796
401,116.4448285,39.75795438
402,116.456502,39.75800963
403,116.4681755,39.7580637
404,116.4798491,39.7581166
405,116.4915227,39.75816832
406,116.5031963,39.75821888
407,116.5148699,39.75826825
408,116.5265436,39.75831646
409,116.5382173,39.75836349
410,116.549891,39.75840934
411,116.5615647,39.75845403
412,116.5732385,39.75849753
413,116.5849123,39.75853987
425,116.106198,39.76485067
426,116.1178718,39.76493998
427,116.1295456,39.76502812
428,116.1412195,39.76511509
429,116.1528934,39.76520088
430,116.1645674,39.7652855
431,116.1762415,39.76536895
432,116.1879155,39.76545122
433,116.1995897,39.76553231
434,116.2112638,39.76561224
435,116.2229381,39.76569099
436,116.2346123,39.76576856
